Time to create 108901 pairs for Sorted Array: 244.269 seconds.
Time to search 4532 pairs for Sorted Array: 0.009686 seconds.

Pairs and their number of appearances:
[{martelli, is} apps: 1]
[{introduction, prolegomena} apps: 2]
[{for, compositions} apps: 2]
[{of, the} apps: 4417]
[{regard, to} apps: 34]
[{on, painting} apps: 27]
[{battle, pieces} apps: 2]
[{prospettiva, de} apps: 9]
[{the, line} apps: 69]
[{complications, in} apps: 2]
[{all, the} apps: 238]
[{586, 591} apps: 1]
[{before, and} apps: 5]
[{and, restrictions} apps: 1]
[{reverberation, 205} apps: 2]
[{de, perdimenti} apps: 5]
[{to, readers} apps: 2]
[{me, in} apps: 12]
[{begin, with} apps: 7]
[{complete, this} apps: 2]
[{then, come} apps: 1]
[{of, leonardos} apps: 1]
[{understand, them} apps: 3]
[{new, machines} apps: 1]
[{connection, of} apps: 5]
[{ebook, was} apps: 1]
[{a, painter} apps: 20]
[{proportions, of} apps: 38]
[{the, left} apps: 96]
[{accademia, at} apps: 5]
[{library, this} apps: 1]
[{senses, converge} apps: 1]
[{to, avoid} apps: 8]
[{the, left} apps: 96]
[{on, perspective} apps: 9]
[{to, painting} apps: 6]
[{size, of} apps: 56]
[{of, trees} apps: 46]
[{a, great} apps: 88]
[{could, find} apps: 1]
[{proportions, of} apps: 38]
[{art, and} apps: 7]
[{the, art} apps: 8]
[{one, who} apps: 19]
[{the, central} apps: 27]
[{understand, them} apps: 3]
[{of, mss} apps: 4]
[{colours, in} apps: 13]
[{in, its} apps: 77]
[{129, first} apps: 1]
[{others, which} apps: 3]
[{scenes, 604} apps: 1]
[{to, readers} apps: 2]
[{not, been} apps: 22]
[{of, march} apps: 7]
[{in, the} apps: 1787]
[{attempting, to} apps: 2]
[{of, the} apps: 4417]
[{of, colours} apps: 24]
[{life, and} apps: 20]
[{509, on} apps: 1]
[{effect, of} apps: 26]
[{of, painting} apps: 66]
[{600, v} apps: 1]
[{of, complete} apps: 1]
[{50, the} apps: 2]
[{the, farther} apps: 17]
[{the, 26th} apps: 5]
[{of, detail} apps: 3]
[{carried, them} apps: 8]
[{us, the} apps: 10]
[{and, rain} apps: 5]
[{himself, lamented} apps: 1]
[{relation, of} apps: 7]
[{to, the} apps: 1381]
[{of, arranging} apps: 2]
[{of, the} apps: 4417]
[{martelli, di} apps: 1]
[{combination, of} apps: 4]
[{of, the} apps: 4417]
[{he, should} apps: 9]
[{since, the} apps: 30]
[{ii, can} apps: 1]
[{painting, and} apps: 11]
[{rules, 289} apps: 2]
[{for, the} apps: 289]
[{and, 27th} apps: 1]
[{connected, whole} apps: 1]
[{will, begin} apps: 5]
[{martelli, on} apps: 1]
[{of, several} apps: 14]
[{of, the} apps: 4417]
[{be, found} apps: 60]
[{with, the} apps: 412]
[{of, growth} apps: 4]
[{the, first} apps: 214]
[{never, completed} apps: 1]
[{397, 402} apps: 1]
[{helps, in} apps: 2]
[{practice, 490} apps: 2]
[{permission, please} apps: 1]
[{of, lord} apps: 2]
[{forgotten, it} apps: 1]
[{manuscript, of} apps: 2]
[{gave, me} apps: 2]
[{of, colours} apps: 24]
[{408, 411} apps: 2]
[{to, prove} apps: 42]
[{or, less} apps: 34]
[{light, 126} apps: 2]
[{be, sure} apps: 2]
[{the, key} apps: 2]
[{intestines, and} apps: 2]
[{and, discoveries} apps: 2]
[{several, of} apps: 5]
[{though, this} apps: 1]
[{is, not} apps: 146]
[{point, 55} apps: 2]
[{89, on} apps: 1]
[{be, 1509} apps: 1]
[{the, intestines} apps: 5]
[{the, deluge} apps: 24]
[{in, answer} apps: 2]
[{merely, the} apps: 5]
[{they, could} apps: 8]
[{paragraphs, appear} apps: 1]
[{to, the} apps: 1381]
[{the, cast} apps: 11]
[{is, generally} apps: 2]
[{le, quali} apps: 3]
[{definition, of} apps: 15]
[{is, consequently} apps: 2]
[{together, to} apps: 2]
[{by, the} apps: 724]
[{witness, that} apps: 1]
[{remarks, as} apps: 4]
[{injury, from} apps: 1]
[{centrale, administrative} apps: 1]
[{any, one} apps: 27]
[{in, his} apps: 116]
[{principles, of} apps: 15]
[{been, preserved} apps: 7]
[{completed, obstacles} apps: 1]
[{111, different} apps: 1]
[{known, texts} apps: 1]
[{in, a} apps: 273]
[{his, mouth} apps: 4]
[{distribution, of} apps: 14]
[{the, arm} apps: 52]
[{of, my} apps: 23]
[{for, the} apps: 289]
[{and, shade} apps: 106]
[{left, hand} apps: 28]
[{file, may} apps: 1]
[{april, 1883} apps: 1]
[{for, this} apps: 34]
[{when, painting} apps: 2]
[{of, paris} apps: 4]
[{of, volume} apps: 4]
[{confusion, on} apps: 1]
[{updated, june} apps: 1]
[{to, solve} apps: 2]
[{intention, to} apps: 5]
[{and, with} apps: 64]
[{of, growth} apps: 4]
[{sequence, with} apps: 1]
[{of, the} apps: 4417]
[{224, a} apps: 1]
[{no, man} apps: 3]
[{148, 149} apps: 2]
[{the, monument} apps: 14]
[{remained, a} apps: 2]
[{the, process} apps: 5]
[{the, revd} apps: 2]
[{depicting, natural} apps: 2]
[{extent, nay} apps: 1]
[{to, add} apps: 3]
[{rights, and} apps: 1]
[{52, 55} apps: 2]
[{the, subjects} apps: 4]
[{664, notes} apps: 1]
[{of, volunteers} apps: 1]
[{painting, is} apps: 12]
[{plane, 83} apps: 2]
[{the, differences} apps: 4]
[{it, was} apps: 88]
[{on, the} apps: 988]
[{for, the} apps: 289]
[{end, of} apps: 60]
[{experiments, on} apps: 2]
[{era, was} apps: 1]
[{some, of} apps: 33]
[{at, short} apps: 3]
[{tenour, of} apps: 1]
[{of, the} apps: 4417]
[{can, sum} apps: 1]
[{is, highly} apps: 6]
[{is, frequently} apps: 1]
[{with, reference} apps: 13]
[{first, book} apps: 8]
[{vol, i} apps: 41]
[{point, of} apps: 46]
[{any, certainty} apps: 4]
[{dates, from} apps: 2]
[{mentioned, as} apps: 3]
[{of, light} apps: 145]
[{the, oldest} apps: 4]
[{181, the} apps: 1]
[{manzoni, at} apps: 1]
[{of, trees} apps: 46]
[{trees, 408} apps: 2]
[{few, and} apps: 4]
[{of, midday} apps: 2]
[{628, the} apps: 1]
[{reading, speaking} apps: 1]
[{night, scenes} apps: 1]
[{accorded, me} apps: 1]
[{peculiarity, in} apps: 1]
[{till, his} apps: 2]
[{page, will} apps: 2]
[{on, the} apps: 988]
[{the, relative} apps: 27]
[{it, is} apps: 689]
[{had, already} apps: 8]
[{kinds, of} apps: 19]
[{distributed, proofreaders} apps: 1]
[{all, oriental} apps: 1]
[{been, attached} apps: 1]
[{again, to} apps: 3]
[{is, not} apps: 146]
[{538, 539} apps: 2]
[{three, most} apps: 1]
[{bibliographical, index} apps: 1]
[{125, of} apps: 1]
[{which, it} apps: 60]
[{of, the} apps: 4417]
[{distinct, parts} apps: 1]
[{figure, are} apps: 2]
[{from, the} apps: 826]
[{222, 223} apps: 2]
[{their, order} apps: 1]
[{in, which} apps: 136]
[{justification, beyond} apps: 1]
[{136, experiments} apps: 1]
[{but, as} apps: 23]
[{the, south} apps: 39]
[{place, though} apps: 1]
[{care, and} apps: 3]
[{be, obliged} apps: 2]
[{nature, of} apps: 70]
[{the, deluge} apps: 24]
[{handwriting, appears} apps: 1]
[{page, on} apps: 2]
[{nature, of} apps: 70]
[{86, 88} apps: 2]
[{in, trees} apps: 10]
[{from, signor} apps: 1]
[{pages, the} apps: 2]
[{of, modern} apps: 5]
[{to, construct} apps: 3]
[{animals, 585} apps: 2]
[{dealt, with} apps: 2]
[{texts, were} apps: 2]
[{that, it} apps: 150]
[{and, end} apps: 4]
[{down, 375} apps: 2]
[{an, enquirer} apps: 1]
[{206, 207} apps: 3]
[{printed, a} apps: 2]
[{not, think} apps: 1]
[{71, the} apps: 1]
[{original, sheets} apps: 1]
[{to, show} apps: 17]
[{be, used} apps: 7]
[{leonardo, da} apps: 37]
[{would, confuse} apps: 1]
[{the, course} apps: 27]
[{construction, of} apps: 25]
[{towns, 465} apps: 2]
[{of, the} apps: 4417]
[{next, footnote} apps: 1]
[{vision, 57} apps: 1]
[{175, 179} apps: 3]
[{354, the} apps: 1]
[{this, ebook} apps: 14]
[{to, carry} apps: 19]
[{da, vinci} apps: 60]
[{on, the} apps: 988]
[{martelli, di} apps: 1]
[{books, on} apps: 11]
[{editors, down} apps: 1]
[{less, extent} apps: 2]
[{arrangement, of} apps: 29]
[{which, they} apps: 47]
[{manuscript, and} apps: 3]
[{the, world} apps: 51]
[{da, vinci} apps: 60]
[{that, notwithstanding} apps: 1]
[{the, artist} apps: 17]
[{figure, 368} apps: 2]
[{sentences, nor} apps: 1]
[{author, s} apps: 7]
[{379, on} apps: 1]
[{representing, the} apps: 7]
[{should, have} apps: 22]
[{in, accord} apps: 1]
[{in, preparing} apps: 4]
[{means, that} apps: 2]
[{of, leonardo} apps: 78]
[{the, renaissance} apps: 6]
[{paragraph, refer} apps: 1]
[{remarks, on} apps: 14]
[{and, thoroughness} apps: 2]
[{antlanticus, 377a} apps: 1]
[{strength, in} apps: 4]
[{well, defined} apps: 1]
[{513, 520} apps: 2]
[{which, if} apps: 2]
[{brit, mus} apps: 2]
[{286, on} apps: 1]
[{copies, of} apps: 8]
[{study, 502} apps: 2]
[{in, facsimile} apps: 12]
[{particular, subjects} apps: 2]
[{seeds, 481} apps: 2]
[{da, vinci} apps: 60]
[{gutenberg, ebook} apps: 4]
[{obliged, him} apps: 1]
[{to, the} apps: 1381]
[{instance, will} apps: 1]
[{follow, each} apps: 1]
[{by, means} apps: 53]
[{654, painting} apps: 1]
[{size, 180} apps: 2]
[{the, passages} apps: 22]
[{are, not} apps: 72]
[{of, an} apps: 63]
[{at, ashburnham} apps: 1]
[{by, monsieur} apps: 1]
[{for, the} apps: 289]
[{of, all} apps: 68]
[{times, and} apps: 4]
[{the, choice} apps: 6]
[{and, france} apps: 2]
[{of, numerous} apps: 2]
[{remarks, as} apps: 4]
[{the, scattered} apps: 1]
[{the, eye} apps: 521]
[{v, suggestions} apps: 2]
[{works, in} apps: 5]
[{the, destiny} apps: 1]
[{and, from} apps: 60]
[{shade, 555} apps: 1]
[{397, 402} apps: 1]
[{di, molte} apps: 1]
[{all, the} apps: 238]
[{on, mathematics} apps: 2]
[{shade, 548} apps: 2]
[{suggestions, for} apps: 10]
[{the, eye} apps: 521]
[{and, dissertations} apps: 3]
[{included, is} apps: 1]
[{arrangement, was} apps: 3]
[{the, picture} apps: 30]
[{should, have} apps: 22]
[{forms, of} apps: 32]
[{1170a, there} apps: 1]
[{printed, a} apps: 2]
[{208, 210} apps: 2]
[{this, should} apps: 7]
[{at, ashburnham} apps: 1]
[{arbitrarily, divide} apps: 1]
[{that, the} apps: 462]
[{the, relative} apps: 27]
[{i, do} apps: 18]
[{through, holes} apps: 3]
[{painting, 660} apps: 2]
[{intentions, no} apps: 1]
[{here, printed} apps: 7]
[{london, april} apps: 1]
[{were, almost} apps: 1]
[{iv, of} apps: 3]
[{125, of} apps: 1]
[{a, canal} apps: 3]
[{the, texts} apps: 19]
[{till, in} apps: 1]
[{the, directors} apps: 1]
[{laws, are} apps: 2]
[{librarian, to} apps: 1]
[{valuable, and} apps: 2]
[{all, the} apps: 238]
[{namely, the} apps: 2]
[{singular, fatality} apps: 1]
[{should, be} apps: 109]
[{of, perspective} apps: 34]
[{of, perspective} apps: 34]
[{be, here} apps: 3]
[{other, without} apps: 3]
[{relative, thickness} apps: 2]
[{subject, of} apps: 11]
[{i, may} apps: 28]
[{to, leonardos} apps: 1]
[{on, the} apps: 988]
[{valuable, advice} apps: 1]
[{when, he} apps: 30]
[{the, revd} apps: 2]
[{writing, he} apps: 1]
[{574, 576} apps: 2]
[{with, the} apps: 412]
[{time, and} apps: 18]
[{that, these} apps: 26]
[{relation, of} apps: 7]
[{are, wholly} apps: 3]
[{vinci, admonition} apps: 1]
[{le, quali} apps: 3]
[{from, the} apps: 826]
[{trattato, in} apps: 2]
[{of, flower} apps: 2]
[{488, 489} apps: 2]
[{scientific, theories} apps: 1]
[{l, institut} apps: 6]
[{and, merits} apps: 1]
[{s, as} apps: 4]
[{his, numbered} apps: 1]
[{to, the} apps: 1381]
[{and, sex} apps: 2]
[{only, for} apps: 6]
[{manuscripts, that} apps: 1]
[{of, these} apps: 137]
[{of, the} apps: 4417]
[{leonardos, literary} apps: 1]
[{of, deciphering} apps: 1]
[{42, 46} apps: 2]
[{by, any} apps: 9]
[{the, first} apps: 214]
[{of, rays} apps: 10]
[{original, document} apps: 2]
[{286, on} apps: 1]
[{the, exceptions} apps: 1]
[{on, the} apps: 988]
[{parts, without} apps: 1]
[{sequence, of} apps: 2]
[{added, to} apps: 15]
[{out, his} apps: 7]
[{the, proportions} apps: 24]
[{298, 299} apps: 1]
[{researches, i} apps: 1]
[{portraits, 571} apps: 2]
[{only, for} apps: 6]
[{of, perspective} apps: 34]
[{the, abbate} apps: 1]
[{proving, them} apps: 1]
[{293, the} apps: 1]
[{distribution, of} apps: 14]
[{of, astronomy} apps: 5]
[{of, every} apps: 22]
[{of, the} apps: 4417]
[{the, function} apps: 13]
[{always, distinct} apps: 1]
[{from, the} apps: 826]
[{of, perspective} apps: 34]
[{so, little} apps: 7]
[{where, it} apps: 74]
[{of, light} apps: 145]
[{gutenberg, ebook} apps: 4]
[{i, have} apps: 120]
[{from, this} apps: 40]
[{at, the} apps: 466]
[{in, reading} apps: 5]
[{of, the} apps: 4417]
[{free, plain} apps: 1]
[{the, passages} apps: 22]
[{the, direction} apps: 21]
[{224, a} apps: 1]
[{the, colours} apps: 30]
[{to, the} apps: 1381]
[{vatican, library} apps: 3]
[{1883, f} apps: 1]
[{means, that} apps: 2]
[{line, 47} apps: 2]
[{order, of} apps: 24]
[{which, o} apps: 2]
[{were, those} apps: 2]
[{at, venice} apps: 14]
[{in, preparing} apps: 4]
[{the, distribution} apps: 11]
[{shadows, 123} apps: 2]
[{2, when} apps: 1]
[{that, is} apps: 281]
[{the, views} apps: 1]
[{235, 239} apps: 3]
[{juxtaposition, of} apps: 2]
[{the, xviith} apps: 2]
[{and, shade} apps: 106]
[{for, this} apps: 34]
[{450, 451} apps: 2]
[{find, his} apps: 1]
[{1, in} apps: 6]
[{of, minor} apps: 2]
[{196, 197} apps: 2]
[{order, since} apps: 1]
[{of, trees} apps: 46]
[{them, bring} apps: 1]
[{of, the} apps: 4417]
[{mathematician, read} apps: 1]
[{dealt, with} apps: 2]
[{ruled, the} apps: 1]
[{412, 419} apps: 3]
[{perspective, general} apps: 2]
[{on, the} apps: 988]
[{for, the} apps: 289]
[{which, are} apps: 217]
[{in, every} apps: 33]
[{sight, 25} apps: 1]
[{them, cannot} apps: 1]
[{on, the} apps: 988]
[{the, water} apps: 150]
[{was, obviously} apps: 2]
[{of, light} apps: 145]
[{secondly, by} apps: 1]
[{in, a} apps: 273]
[{trattato, the} apps: 1]
[{natural, perspective} apps: 10]
[{and, of} apps: 137]
[{ahead, of} apps: 1]
[{of, art} apps: 6]
[{by, his} apps: 22]
[{586, 591} apps: 1]
[{museum, i} apps: 2]
[{is, therefore} apps: 2]
[{am, now} apps: 2]
[{gradations, of} apps: 8]
[{man, who} apps: 36]
[{subjects, follow} apps: 1]
[{regno, and} apps: 1]
[{a, singular} apps: 1]
[{anghiari, while} apps: 1]
[{of, the} apps: 4417]
[{be, deciphered} apps: 2]
[{by, connecting} apps: 1]
[{persistent, use} apps: 1]
[{for, the} apps: 289]
[{landscape, painting} apps: 5]
[{and, number} apps: 1]
[{dell, acqua} apps: 8]
[{the, distance} apps: 68]
[{with, the} apps: 412]
[{colours, in} apps: 13]
[{473, light} apps: 1]
[{painting, is} apps: 12]
[{since, 1971} apps: 1]
[{would, at} apps: 1]
[{likely, to} apps: 3]
[{the, commendatore} apps: 2]
[{of, the} apps: 4417]
[{548, on} apps: 1]
[{this, treatise} apps: 2]
[{and, some} apps: 13]
[{regard, to} apps: 34]
[{was, of} apps: 5]
[{attempting, to} apps: 2]
[{copiate, we} apps: 1]
[{to, us} apps: 21]
[{colours, in} apps: 13]
[{the, comparative} apps: 2]
[{task, the} apps: 1]
[{on, shadows} apps: 3]
[{into, eight} apps: 1]
[{295, 297} apps: 2]
[{the, size} apps: 35]
[{then, come} apps: 1]
[{necessary, to} apps: 27]
[{mind, alexander} apps: 1]
[{von, humboldt} apps: 2]
[{327, proportions} apps: 1]
[{further, search} apps: 1]
[{the, queens} apps: 1]
[{2, when} apps: 1]
[{to, the} apps: 1381]
[{task, the} apps: 1]
[{man, with} apps: 5]
[{of, light} apps: 145]
[{centuries, have} apps: 1]
[{112, 116} apps: 2]
[{of, this} apps: 262]
[{for, much} apps: 2]
[{42, 46} apps: 2]
[{who, has} apps: 17]
[{laws, of} apps: 9]
[{duration, in} apps: 1]
[{183, 187} apps: 2]
[{a, well} apps: 6]
[{of, the} apps: 4417]
[{to, review} apps: 1]
[{images, reflected} apps: 2]
[{many, may} apps: 1]
[{different, paragraphs} apps: 1]
[{connecting, them} apps: 1]
[{the, distribution} apps: 11]
[{l, da} apps: 10]
[{appearance, of} apps: 7]
[{laws, of} apps: 9]
[{water, and} apps: 32]
[{chaotic, confusion} apps: 1]
[{writings, i} apps: 3]
[{sacks, or} apps: 1]
[{due, to} apps: 5]
[{to, make} apps: 77]
[{and, shade} apps: 106]
[{observations, 308} apps: 2]
[{all, the} apps: 238]
[{mottoes, and} apps: 3]
[{the, marchese} apps: 5]
[{to, adopt} apps: 1]
[{light, colours} apps: 3]
[{not, remove} apps: 3]
[{for, the} apps: 289]
[{intensity, of} apps: 4]
[{i, wanted} apps: 1]
[{of, light} apps: 145]
[{have, been} apps: 143]
[{others, which} apps: 3]
[{to, readers} apps: 2]
[{and, merits} apps: 1]
[{uffizi, at} apps: 1]
[{the, only} apps: 21]
[{to, make} apps: 77]
[{panel, 628} apps: 2]
[{of, the} apps: 4417]
[{breathe, is} apps: 2]
[{and, figure} apps: 3]
[{for, studying} apps: 3]
[{of, these} apps: 137]
[{a, tempest} apps: 7]
[{and, some} apps: 13]
[{leonardo, means} apps: 3]
[{to, the} apps: 1381]
[{an, illustration} apps: 4]
[{of, derived} apps: 14]
[{learning, and} apps: 1]
[{the, disorder} apps: 3]
[{on, the} apps: 988]
[{mechanics, physics} apps: 1]
[{of, leonardo} apps: 78]
[{remained, a} apps: 2]
[{read, the} apps: 3]
[{during, the} apps: 17]
[{from, my} apps: 1]
[{147, second} apps: 1]
[{last, supper} apps: 12]
[{london, april} apps: 1]
[{118, definition} apps: 1]
[{i, do} apps: 18]
[{a, mystery} apps: 1]
[{leonardo, that} apps: 1]
[{the, eye} apps: 521]
[{von, humboldt} apps: 2]
[{it, was} apps: 88]
[{some, portions} apps: 3]
[{apparent, size} apps: 11]
[{503, 506} apps: 2]
[{the, passages} apps: 22]
[{571, 572} apps: 2]
[{as, seemed} apps: 1]
[{juxtaposition, 89} apps: 1]
[{at, milan} apps: 45]
[{ebooks, readable} apps: 1]
[{of, some} apps: 35]
[{393, the} apps: 1]
[{this, order} apps: 2]
[{light, for} apps: 15]
[{arising, from} apps: 1]
[{scattered, materials} apps: 1]
[{the, function} apps: 13]
[{here, reproduced} apps: 9]
[{in, a} apps: 273]
[{doubt, rests} apps: 1]
[{that, we} apps: 21]
[{and, to} apps: 102]
[{assassinations, at} apps: 1]
[{arguing, out} apps: 1]
[{for, this} apps: 34]
[{leonardos, writings} apps: 1]
[{on, indistinctness} apps: 6]
[{the, use} apps: 17]
[{effects, on} apps: 2]
[{of, objects} apps: 51]
[{end, with} apps: 2]
[{each, observation} apps: 1]
[{division, and} apps: 1]
[{159, different} apps: 1]
[{and, shade} apps: 106]
[{practice, of} apps: 11]
[{year, ahead} apps: 1]
[{the, shape} apps: 12]
[{left, hand} apps: 28]
[{according, to} apps: 58]
[{and, other} apps: 53]
[{581, how} apps: 1]
[{manner, in} apps: 3]
[{writings, i} apps: 3]
[{bodies, 136} apps: 1]
[{revision, of} apps: 1]
[{the, limitations} apps: 3]
[{of, the} apps: 4417]
[{669, allegorical} apps: 1]
[{of, volume} apps: 4]
[{institut, de} apps: 5]
[{besides, the} apps: 11]
[{480, of} apps: 1]
[{value, was} apps: 1]
[{between, light} apps: 6]
[{i, was} apps: 15]
[{graciously, accorded} apps: 1]
[{to, work} apps: 15]
[{me, in} apps: 12]
[{all, the} apps: 238]
[{subjects, follow} apps: 1]
[{use, in} apps: 2]
[{pages, to} apps: 1]
[{s, scope} apps: 2]
[{writing, he} apps: 1]
[{without, eating} apps: 2]
[{gustavo, frizzoni} apps: 2]
[{were, supposed} apps: 1]
[{65, 66} apps: 2]
[{ebook, was} apps: 1]
[{should, have} apps: 22]
[{a, man} apps: 138]
[{of, the} apps: 4417]
[{to, us} apps: 21]
[{by, any} apps: 9]
[{painting, 284} apps: 2]
[{file, please} apps: 1]
[{a, canal} apps: 3]
[{of, a} apps: 546]
[{representations, 674} apps: 2]
[{to, be} apps: 412]
[{we, should} apps: 14]
[{mainly, due} apps: 1]
[{the, use} apps: 17]
[{under, water} apps: 14]
[{assistance, these} apps: 1]
[{methods, of} apps: 10]
[{that, had} apps: 2]
[{and, thus} apps: 52]
[{which, were} apps: 26]
[{says, and} apps: 2]
[{is, superior} apps: 4]
[{in, every} apps: 33]
[{of, which} apps: 119]
[{he, was} apps: 47]
[{humans, and} apps: 1]
[{the, first} apps: 214]
[{original, manuscript} apps: 5]
[{me, throughout} apps: 1]
[{leaves, has} apps: 1]
[{of, manuscripts} apps: 8]
[{of, the} apps: 4417]
[{private, collection} apps: 1]
[{pages, which} apps: 1]
[{enquirers, had} apps: 1]
[{holkham, hall} apps: 1]
[{lord, ashburnham} apps: 3]
[{and, well} apps: 5]
[{page, and} apps: 4]
[{definition, 222} apps: 2]
[{shadow, within} apps: 2]
[{representations, referring} apps: 2]
[{especial, care} apps: 1]
[{of, time} apps: 22]
[{to, my} apps: 9]
[{of, the} apps: 4417]
[{imaginary, animals} apps: 2]
[{452, 453} apps: 2]
[{of, the} apps: 4417]
[{sorts, of} apps: 6]
[{cases, this} apps: 1]
[{on, the} apps: 988]
[{on, gradation} apps: 2]
[{order, of} apps: 24]
[{of, derived} apps: 14]
[{since, leonardo} apps: 4]
[{to, readers} apps: 2]
[{parts, without} apps: 1]
[{the, queen} apps: 9]
[{shade, on} apps: 11]
[{word, into} apps: 1]
[{and, of} apps: 137]
[{which, now} apps: 3]
[{england, italy} apps: 1]
[{simple, and} apps: 8]
[{the, proportion} apps: 17]
[{10, language} apps: 1]
[{become, so} apps: 2]
[{which, were} apps: 26]
[{of, light} apps: 145]
[{of, the} apps: 4417]
[{depth, of} apps: 17]
[{to, publish} apps: 3]
[{case, when} apps: 2]
[{foot, 322} apps: 1]
[{to, the} apps: 1381]
[{of, the} apps: 4417]
[{the, project} apps: 22]
[{332, the} apps: 1]
[{definition, 222} apps: 2]
[{the, bibliography} apps: 5]
[{england, italy} apps: 1]
[{production, of} apps: 5]
[{he, had} apps: 40]
[{of, mss} apps: 4]
[{library, at} apps: 11]
[{unfinished, namely} apps: 1]
[{208, 210} apps: 2]
[{each, proposition} apps: 1]
[{head, and} apps: 26]
[{on, prospettiva} apps: 1]
[{540, 547} apps: 2]
[{practice, of} apps: 11]
[{147, second} apps: 1]
[{to, copy} apps: 3]
[{of, the} apps: 4417]
[{passages, which} apps: 7]
[{consecutive, pages} apps: 1]
[{for, this} apps: 34]
[{regno, and} apps: 1]
[{is, consequently} apps: 2]
[{obstacles, having} apps: 1]
[{distribution, of} apps: 14]
[{paragraphs, appear} apps: 1]
[{remarks, on} apps: 14]
[{words, which} apps: 3]
[{of, the} apps: 4417]
[{extent, nay} apps: 1]
[{list, of} apps: 3]
[{in, water} apps: 15]
[{of, luminous} apps: 10]
[{i, will} apps: 56]
[{of, nearly} apps: 1]
[{included, is} apps: 1]
[{10, language} apps: 1]
[{the, renaissance} apps: 6]
[{sorts, of} apps: 6]
[{a, leaf} apps: 8]
[{text, leonardo} apps: 2]
[{of, cast} apps: 7]
[{also, find} apps: 4]
[{that, notwithstanding} apps: 1]
[{670, 673} apps: 3]
[{from, the} apps: 826]
[{practice, of} apps: 11]
[{as, to} apps: 174]
[{297, on} apps: 1]
[{674, 678} apps: 2]
[{of, the} apps: 4417]
[{an, orthography} apps: 1]
[{general, introductions} apps: 2]
[{of, volume} apps: 4]
[{and, shade} apps: 106]
[{genuine, cannot} apps: 1]
[{of, colours} apps: 24]
[{peculiar, that} apps: 1]
[{659, on} apps: 1]
[{all, the} apps: 238]
[{this, space} apps: 2]
[{fancy, of} apps: 1]
[{650, vii} apps: 1]
[{a, variety} apps: 7]
[{211, 212} apps: 2]
[{and, in} apps: 220]
[{stood, in} apps: 2]
[{any, certainty} apps: 4]
[{each, other} apps: 78]
[{last, supper} apps: 12]
[{it, would} apps: 103]
[{1883, f} apps: 1]
[{on, indistinctness} apps: 6]
[{added, to} apps: 15]
[{principles, and} apps: 5]
[{incidence, of} apps: 6]
[{508, ii} apps: 1]
[{about, the} apps: 29]
[{and, so} apps: 80]
[{the, most} apps: 56]
[{relative, proportions} apps: 12]
[{of, disappearance} apps: 8]
[{viewing, this} apps: 1]
[{at, great} apps: 8]
[{proof, sheets} apps: 1]
[{of, derived} apps: 14]
[{and, registered} apps: 1]
[{of, any} apps: 40]
[{to, which} apps: 41]
[{sketches, they} apps: 1]
[{dufresne, of} apps: 1]
[{shade, general} apps: 1]
[{377a, 1170a} apps: 1]
[{painting, is} apps: 12]
[{two, of} apps: 4]
[{afford, for} apps: 1]
[{edit, the} apps: 1]
[{in, front} apps: 75]
[{lady, day} apps: 1]
[{begin, with} apps: 7]
[{da, vinci} apps: 60]
[{admirers, should} apps: 1]
[{for, by} apps: 3]
[{naturae, par} apps: 1]
[{regard, to} apps: 34]
[{of, an} apps: 63]
[{the, passages} apps: 22]
[{of, the} apps: 4417]
[{practice, of} apps: 11]
[{the, vast} apps: 9]
[{several, years} apps: 1]
[{106, on} apps: 1]
[{admirers, should} apps: 1]
[{to, their} apps: 32]
[{of, light} apps: 145]
[{i, have} apps: 120]
[{only, for} apps: 6]
[{are, far} apps: 3]
[{of, the} apps: 4417]
[{both, of} apps: 5]
[{maude, thompson} apps: 1]
[{this, passage} apps: 103]
[{291, an} apps: 1]
[{327, proportions} apps: 1]
[{handwriting, appears} apps: 1]
[{seems, almost} apps: 1]
[{331, on} apps: 1]
[{foot, and} apps: 16]
[{and, decorations} apps: 5]
[{movement, of} apps: 25]
[{and, which} apps: 53]
[{molte, carte} apps: 1]
[{materials, of} apps: 3]
[{450, 451} apps: 2]
[{of, others} apps: 17]
[{indicated, with} apps: 1]
[{satisfied, with} apps: 2]
[{s, manuscripts} apps: 4]
[{and, popular} apps: 1]
[{of, perception} apps: 3]
[{on, prospettiva} apps: 1]
[{windsor, the} apps: 2]
[{the, panel} apps: 5]
[{few, and} apps: 4]
[{placed, opposite} apps: 8]
[{instance, easily} apps: 1]
[{complete, author} apps: 1]
[{effect, of} apps: 26]
[{appropriate, gestures} apps: 3]
[{the, subjects} apps: 4]
[{the, word} apps: 29]
[{128, 129} apps: 2]
[{era, was} apps: 1]
[{since, been} apps: 2]
[{inexplicable, that} apps: 1]
[{of, light} apps: 145]
[{others, the} apps: 5]
[{bibliographical, index} apps: 1]
[{that, we} apps: 21]
[{that, it} apps: 150]
[{many, difficulties} apps: 1]
[{italiane, famiglia} apps: 1]
[{660, 661} apps: 2]
[{the, notebooks} apps: 6]
[{in, his} apps: 116]
[{465, 469} apps: 3]
[{lost, but} apps: 2]
[{insertion, of} apps: 19]
[{of, more} apps: 6]
[{manzi, in} apps: 1]
[{manuscripts, their} apps: 1]
[{updated, june} apps: 1]
[{of, a} apps: 546]
[{vi, the} apps: 2]
[{which, were} apps: 26]
[{2, admonition} apps: 1]
